start	70	2024	1	13	18
	379	405	94.750000	-11.250000	1.007908e+05	1.057492e+01	-7.319130e-02	2024	1	13	18
	379	405	94.750000	-11.250000	1.006441e+05	1.216056e+01	-7.319130e-02	2024	1	14	0
	379	405	94.750000	-11.250000	1.006016e+05	1.330416e+01	-7.319130e-02	2024	1	14	6
	377	404	94.250000	-11.000000	1.003967e+05	1.253289e+01	-1.340400e-01	2024	1	14	12
	375	403	93.750000	-10.750000	1.004851e+05	1.209393e+01	6.495788e-01	2024	1	14	18
	373	401	93.250000	-10.250000	1.004817e+05	1.327956e+01	6.686600e-02	2024	1	15	0
	375	399	93.750000	-9.750000	1.004481e+05	1.613937e+01	-6.358395e-01	2024	1	15	6
	378	400	94.500000	-10.000000	1.003497e+05	1.565516e+01	4.686300e-01	2024	1	15	12
	377	400	94.250000	-10.000000	1.003164e+05	1.546048e+01	-1.337571e-01	2024	1	15	18
	375	398	93.750000	-9.500000	1.002310e+05	1.570662e+01	1.676832e-01	2024	1	16	0
	376	399	94.000000	-9.750000	1.001591e+05	1.653108e+01	-9.773804e-01	2024	1	16	6
	375	399	93.750000	-9.750000	1.001035e+05	1.482493e+01	-6.358395e-01	2024	1	16	12
	377	399	94.250000	-9.750000	1.000134e+05	1.613589e+01	-5.355517e-01	2024	1	16	18
	376	399	94.000000	-9.750000	9.994956e+04	1.543542e+01	-9.773804e-01	2024	1	17	0
	377	400	94.250000	-10.000000	9.991077e+04	1.590759e+01	-1.337571e-01	2024	1	17	6
	376	401	94.000000	-10.250000	9.976081e+04	1.706038e+01	-3.343375e-01	2024	1	17	12
	376	403	94.000000	-10.750000	9.970702e+04	1.916571e+01	8.905292e-01	2024	1	17	18
	376	404	94.000000	-11.000000	9.966205e+04	1.891690e+01	-1.218933e+00	2024	1	18	0
	375	406	93.750000	-11.500000	9.963830e+04	1.983002e+01	-8.568510e-01	2024	1	18	6
	375	408	93.750000	-12.000000	9.950580e+04	1.905140e+01	4.490812e-01	2024	1	18	12
	373	409	93.250000	-12.250000	9.961944e+04	1.909482e+01	-1.078408e+00	2024	1	18	18
	373	410	93.250000	-12.500000	9.960809e+04	1.841665e+01	-7.356975e-02	2024	1	19	0
	371	410	92.750000	-12.500000	9.950759e+04	1.940417e+01	-4.551038e-01	2024	1	19	6
	371	410	92.750000	-12.500000	9.941995e+04	1.976637e+01	-4.551038e-01	2024	1	19	12
	371	410	92.750000	-12.500000	9.950417e+04	1.862707e+01	-4.551038e-01	2024	1	19	18
	371	410	92.750000	-12.500000	9.913211e+04	2.037032e+01	-4.551038e-01	2024	1	20	0
	370	410	92.500000	-12.500000	9.916353e+04	2.092429e+01	-4.351525e-01	2024	1	20	6
	370	410	92.500000	-12.500000	9.910116e+04	1.983157e+01	-4.351525e-01	2024	1	20	12
	370	409	92.500000	-12.250000	9.927028e+04	2.105391e+01	-1.312587e-02	2024	1	20	18
	369	408	92.250000	-12.000000	9.920247e+04	2.062195e+01	1.071636e-01	2024	1	21	0
	369	408	92.250000	-12.000000	9.910123e+04	2.092650e+01	1.071636e-01	2024	1	21	6
	368	408	92.000000	-12.000000	9.913267e+04	1.987079e+01	3.484339e-01	2024	1	21	12
	367	408	91.750000	-12.000000	9.946580e+04	1.926688e+01	-3.331870e-02	2024	1	21	18
	367	409	91.750000	-12.250000	9.938903e+04	2.106962e+01	1.276637e-01	2024	1	22	0
	366	409	91.500000	-12.250000	9.941524e+04	2.095013e+01	-5.959448e-01	2024	1	22	6
	365	410	91.250000	-12.500000	9.959006e+04	1.878429e+01	2.077120e-01	2024	1	22	12
	366	410	91.500000	-12.500000	9.986673e+04	1.791926e+01	-1.134270e-01	2024	1	22	18
	366	411	91.500000	-12.750000	9.989670e+04	1.784840e+01	3.286178e-01	2024	1	23	0
	366	413	91.500000	-13.250000	9.995366e+04	1.764569e+01	-4.552237e-01	2024	1	23	6
	365	414	91.250000	-13.500000	9.979433e+04	1.776808e+01	-5.556590e-01	2024	1	23	12
	365	415	91.250000	-13.750000	9.992298e+04	1.810918e+01	2.879792e-01	2024	1	23	18
	364	415	91.000000	-13.750000	9.981145e+04	1.856565e+01	3.080587e-01	2024	1	24	0
	364	416	91.000000	-14.000000	9.967819e+04	2.093187e+01	-7.766543e-01	2024	1	24	6
	364	417	91.000000	-14.250000	9.959674e+04	2.061414e+01	4.889550e-01	2024	1	24	12
	364	417	91.000000	-14.250000	9.963981e+04	1.942156e+01	4.889550e-01	2024	1	24	18
	363	419	90.750000	-14.750000	9.956398e+04	2.022673e+01	7.901744e-01	2024	1	25	0
	360	421	90.000000	-15.250000	9.975539e+04	2.026940e+01	3.886375e-01	2024	1	25	6
	357	422	89.250000	-15.500000	9.965802e+04	2.013406e+01	-5.348822e-02	2024	1	25	12
	352	424	88.000000	-16.000000	9.992632e+04	1.893730e+01	8.722672e-02	2024	1	25	18
	348	426	87.000000	-16.500000	9.983407e+04	2.079536e+01	6.735872e-02	2024	1	26	0
	344	427	86.000000	-16.750000	9.999378e+04	2.041288e+01	1.373353e+00	2024	1	26	6
	340	429	85.000000	-17.250000	1.000240e+05	1.896547e+01	7.701000e-01	2024	1	26	12
	336	432	84.000000	-18.000000	1.003766e+05	1.905677e+01	4.487708e-01	2024	1	26	18
	332	434	83.000000	-18.500000	1.000180e+05	1.979245e+01	-1.535048e-01	2024	1	27	0
	328	435	82.000000	-18.750000	9.991288e+04	2.016452e+01	1.071851e-01	2024	1	27	6
	323	437	80.750000	-19.250000	9.974772e+04	2.076150e+01	-5.756109e-01	2024	1	27	12
	318	437	79.500000	-19.250000	1.002034e+05	1.872209e+01	-1.735618e-01	2024	1	27	18
	312	439	78.000000	-19.750000	9.998420e+04	1.932943e+01	3.683327e-01	2024	1	28	0
	306	441	76.500000	-20.250000	1.000782e+05	2.166871e+01	1.883732e-01	2024	1	28	6
	300	444	75.000000	-21.000000	9.995723e+04	1.885484e+01	2.080614e-01	2024	1	28	12
	294	446	73.500000	-21.500000	1.002218e+05	1.840793e+01	-3.341869e-02	2024	1	28	18
	289	450	72.250000	-22.500000	9.994195e+04	2.009788e+01	3.292364e-01	2024	1	29	0
	286	455	71.500000	-23.750000	1.000515e+05	1.970085e+01	4.739551e-02	2024	1	29	6
	283	460	70.750000	-25.000000	9.967143e+04	1.901246e+01	4.294649e-01	2024	1	29	12
	283	465	70.750000	-26.250000	9.941480e+04	2.155174e+01	-5.155739e-01	2024	1	29	18
	285	471	71.250000	-27.750000	9.921511e+04	2.214346e+01	2.882237e-01	2024	1	30	0
	289	475	72.250000	-28.750000	9.946613e+04	2.194204e+01	-2.932083e-01	2024	1	30	6
	295	479	73.750000	-29.750000	9.940038e+04	2.128012e+01	7.707648e-01	2024	1	30	12
	302	482	75.500000	-30.500000	9.972216e+04	2.177739e+01	-1.322438e-02	2024	1	30	18
	314	486	78.500000	-31.500000	9.977309e+04	2.168272e+01	6.292435e-01	2024	1	31	0
start	15	2024	1	19	18
	624	419	156.000000	-14.750000	9.970017e+04	1.225759e+01	2.282146e-01	2024	1	19	18
	623	418	155.750000	-14.500000	9.995211e+04	1.410311e+01	-2.941282e-01	2024	1	20	0
	621	418	155.250000	-14.500000	9.964453e+04	1.377388e+01	-3.947702e-01	2024	1	20	6
	622	419	155.500000	-14.750000	1.000302e+05	1.302011e+01	-4.952807e-01	2024	1	20	12
	621	418	155.250000	-14.500000	9.974728e+04	1.638001e+01	-3.947702e-01	2024	1	20	18
	617	421	154.250000	-15.250000	9.992847e+04	1.585780e+01	-9.578619e-01	2024	1	21	0
	619	422	154.750000	-15.500000	9.975523e+04	1.466877e+01	-6.354506e-01	2024	1	21	6
	615	423	153.750000	-15.750000	9.991167e+04	1.495618e+01	1.634048e+00	2024	1	21	12
	613	423	153.250000	-15.750000	9.967380e+04	1.671103e+01	8.500782e-01	2024	1	21	18
	617	424	154.250000	-16.000000	9.954724e+04	1.693901e+01	-8.776144e-01	2024	1	22	6
	615	426	153.750000	-16.500000	9.978606e+04	1.513096e+01	5.894729e-01	2024	1	22	12
	615	426	153.750000	-16.500000	9.952373e+04	1.707369e+01	5.894729e-01	2024	1	22	18
	616	427	154.000000	-16.750000	9.949070e+04	2.000145e+01	-4.346672e-01	2024	1	23	0
	616	429	154.000000	-17.250000	9.914666e+04	1.656023e+01	4.697576e-02	2024	1	23	6
	615	429	153.750000	-17.250000	9.947533e+04	1.633779e+01	1.079892e-01	2024	1	23	12
