start	4	2024	1	1	0
	288	369	72.000000	-2.250000	-1.917593e-04	1.009496e+05	1.955598e+00	6.487490e+00	1.476730e+04	1.477005e+04	1.471093e+04	8.141192e+01	7.957696e+01	2024	1	1	0
	285	368	71.250000	-2.000000	-1.151275e-04	1.008898e+05	1.955598e+00	5.289485e+00	1.472615e+04	1.472904e+04	1.468961e+04	8.127256e+01	7.994523e+01	2024	1	1	12
	284	361	71.000000	-0.250000	-2.226629e-05	1.011784e+05	2.036141e+00	3.894727e+00	1.496238e+04	1.496308e+04	1.494925e+04	8.220890e+01	8.120423e+01	2024	1	1	18
	293	365	73.250000	-1.250000	-7.280312e-05	1.011767e+05	1.955598e+00	3.668923e+00	1.494201e+04	1.494373e+04	1.492071e+04	8.468835e+01	8.286568e+01	2024	1	2	6
start	5	2024	1	1	0
	366	376	91.500000	-4.000000	-5.335733e-05	1.009246e+05	2.236784e+00	7.583953e+00	1.474543e+04	1.474788e+04	1.470418e+04	8.550883e+01	8.404617e+01	2024	1	1	0
	364	375	91.000000	-3.750000	-4.808162e-05	1.010548e+05	2.236784e+00	7.201795e+00	1.486695e+04	1.486912e+04	1.484651e+04	8.554688e+01	8.517970e+01	2024	1	1	6
	363	382	90.750000	-5.500000	-2.116081e-05	1.009148e+05	1.674565e+00	8.501511e+00	1.475467e+04	1.475763e+04	1.471461e+04	8.932980e+01	8.688894e+01	2024	1	1	12
	351	381	87.750000	-5.250000	-1.202265e-04	1.010934e+05	1.132127e+00	9.222414e+00	1.489356e+04	1.489577e+04	1.484138e+04	9.022340e+01	8.825114e+01	2024	1	1	18
	346	384	86.500000	-6.000000	-1.079834e-04	1.009661e+05	1.373156e+00	7.130231e+00	1.479867e+04	1.480078e+04	1.473859e+04	9.145049e+01	8.786868e+01	2024	1	2	0
start	5	2024	1	1	0
	245	379	61.250000	-4.750000	-2.418086e-05	1.009686e+05	9.913999e-01	4.819747e+00	1.476465e+04	1.476508e+04	1.473693e+04	7.965617e+01	8.109750e+01	2024	1	1	0
	253	386	63.250000	-6.500000	-8.566235e-05	1.011508e+05	1.413473e+00	6.323355e+00	1.495822e+04	1.496100e+04	1.492488e+04	7.819095e+01	7.954558e+01	2024	1	1	6
	256	379	64.000000	-4.750000	-2.879021e-05	1.008718e+05	9.309574e-01	8.001714e+00	1.470968e+04	1.471100e+04	1.468311e+04	8.350808e+01	7.990450e+01	2024	1	1	12
	246	377	61.500000	-4.250000	-7.013441e-05	1.009511e+05	1.393170e+00	7.200740e+00	1.475050e+04	1.475358e+04	1.471534e+04	8.337992e+01	8.272394e+01	2024	1	2	0
	253	376	63.250000	-4.000000	-8.973689e-05	1.011724e+05	9.309574e-01	7.134362e+00	1.494960e+04	1.495156e+04	1.491061e+04	8.485412e+01	8.417516e+01	2024	1	2	18
start	5	2024	1	1	0
	222	400	55.500000	-10.000000	-4.004687e-06	1.009196e+05	1.232238e+00	5.149282e+00	1.475251e+04	1.475518e+04	1.472193e+04	7.773608e+01	8.022353e+01	2024	1	1	0
	226	397	56.500000	-9.250000	-6.321468e-05	1.011794e+05	8.304603e-01	8.414296e+00	1.498534e+04	1.498834e+04	1.493813e+04	8.615929e+01	8.231109e+01	2024	1	1	18
	228	387	57.000000	-6.750000	-2.118037e-05	1.007089e+05	1.152007e+00	7.333926e+00	1.468985e+04	1.469255e+04	1.466517e+04	7.852550e+01	7.913133e+01	2024	1	2	12
	219	394	54.750000	-8.500000	-8.258433e-05	1.011214e+05	1.232238e+00	8.596765e+00	1.493514e+04	1.493766e+04	1.489873e+04	8.805944e+01	8.469724e+01	2024	1	2	18
	219	393	54.750000	-8.250000	-8.810870e-05	1.008738e+05	1.333094e+00	7.095422e+00	1.473126e+04	1.473305e+04	1.467689e+04	8.884662e+01	8.306353e+01	2024	1	3	0
start	23	2024	1	1	0
	162	443	40.500000	-20.750000	-4.900508e-04	1.000506e+05	2.034799e+00	1.587131e+01	1.449558e+04	1.452432e+04	1.393505e+04	8.865363e+01	8.281876e+01	2024	1	1	0
	167	444	41.750000	-21.000000	-4.497573e-04	9.366377e+04	4.823790e+02	1.750600e+01	1.462731e+04	1.465572e+04	1.398513e+04	8.810571e+01	8.408349e+01	2024	1	1	6
	172	446	43.000000	-21.500000	-8.112204e-04	8.997084e+04	6.995154e+03	1.762192e+01	1.443047e+04	1.446271e+04	1.357086e+04	8.873788e+01	8.409474e+01	2024	1	1	12
	176	448	44.000000	-22.000000	-1.187835e-03	8.585538e+04	1.006669e+04	1.651066e+01	1.448638e+04	1.451869e+04	1.356225e+04	8.985561e+01	8.800391e+01	2024	1	1	18
	178	446	44.500000	-21.500000	-7.980561e-04	8.231009e+04	1.131926e+04	1.544422e+01	1.433058e+04	1.436305e+04	1.371834e+04	8.776852e+01	8.583160e+01	2024	1	2	0
	182	447	45.500000	-21.750000	-7.878502e-04	8.160768e+04	1.482688e+04	1.137656e+01	1.447715e+04	1.450790e+04	1.395009e+04	8.854563e+01	8.580796e+01	2024	1	2	6
	192	448	48.000000	-22.000000	-6.050377e-04	8.146688e+04	1.492266e+04	1.452060e+01	1.435523e+04	1.438071e+04	1.396417e+04	8.475312e+01	8.291634e+01	2024	1	2	12
	193	448	48.250000	-22.000000	-2.064141e-03	8.160438e+04	1.492266e+04	2.035421e+01	1.448684e+04	1.451534e+04	1.336811e+04	8.772994e+01	8.514328e+01	2024	1	2	18
	196	449	49.000000	-22.250000	-7.910263e-04	8.215884e+04	1.215488e+04	1.690866e+01	1.434823e+04	1.437661e+04	1.355389e+04	8.713356e+01	8.558530e+01	2024	1	3	0
	200	452	50.000000	-23.000000	-8.078529e-04	8.869678e+04	5.428051e+01	1.865652e+01	1.444917e+04	1.448167e+04	1.372391e+04	8.757042e+01	8.455246e+01	2024	1	3	6
	206	456	51.500000	-24.000000	-6.158291e-04	9.966182e+04	1.835524e+00	1.889252e+01	1.427137e+04	1.430459e+04	1.365345e+04	8.244622e+01	8.187375e+01	2024	1	3	12
	210	461	52.500000	-25.250000	-6.600006e-04	9.976956e+04	1.654602e+00	1.729353e+01	1.447107e+04	1.450802e+04	1.375546e+04	8.566529e+01	8.025371e+01	2024	1	3	18
	215	468	53.750000	-27.000000	-6.481733e-04	9.966167e+04	1.454901e+00	1.789321e+01	1.426196e+04	1.430764e+04	1.362423e+04	8.612852e+01	8.155462e+01	2024	1	4	0
	223	477	55.750000	-29.250000	-1.501030e-03	9.940886e+04	1.715041e+00	2.343759e+01	1.436899e+04	1.442462e+04	1.333049e+04	8.197486e+01	7.546476e+01	2024	1	4	6
	231	475	57.750000	-28.750000	-5.309905e-04	9.917253e+04	1.594001e+00	2.310024e+01	1.419177e+04	1.426064e+04	1.307668e+04	7.640588e+01	7.539174e+01	2024	1	4	12
	237	480	59.250000	-30.000000	-5.920155e-04	9.958834e+04	1.172455e+00	2.182650e+01	1.431314e+04	1.438344e+04	1.344812e+04	7.706300e+01	7.375271e+01	2024	1	4	18
	240	483	60.000000	-30.750000	-7.093514e-04	9.952579e+04	1.172455e+00	2.156709e+01	1.417087e+04	1.424590e+04	1.338669e+04	8.438902e+01	7.977901e+01	2024	1	5	0
	245	482	61.250000	-30.500000	-3.047935e-04	9.986049e+04	1.172455e+00	2.291075e+01	1.439273e+04	1.446244e+04	1.366147e+04	8.207863e+01	8.040411e+01	2024	1	5	6
	252	483	63.000000	-30.750000	-2.921664e-04	9.999716e+04	1.011771e+00	2.024297e+01	1.433099e+04	1.439533e+04	1.372169e+04	8.457493e+01	8.197592e+01	2024	1	5	12
	256	483	64.000000	-30.750000	-2.965147e-04	1.003742e+05	7.503881e-01	1.734355e+01	1.452217e+04	1.457346e+04	1.404049e+04	8.387400e+01	8.130288e+01	2024	1	5	18
	259	484	64.750000	-31.000000	-2.640716e-04	1.003951e+05	7.503881e-01	1.674055e+01	1.440168e+04	1.444358e+04	1.403662e+04	8.670206e+01	8.150194e+01	2024	1	6	0
	262	484	65.500000	-31.000000	-2.377201e-04	1.006310e+05	1.071792e+00	1.530801e+01	1.455490e+04	1.459064e+04	1.424823e+04	8.912676e+01	8.560704e+01	2024	1	6	6
	266	482	66.500000	-30.500000	-1.995889e-04	1.005527e+05	1.071792e+00	1.520238e+01	1.446469e+04	1.449587e+04	1.420043e+04	8.791323e+01	8.398075e+01	2024	1	6	12
start	10	2024	1	2	6
	262	390	65.500000	-7.500000	-1.273414e-04	1.012137e+05	1.433427e+00	7.318614e+00	1.498323e+04	1.498420e+04	1.493821e+04	8.725585e+01	8.523682e+01	2024	1	2	6
	251	389	62.750000	-7.250000	-1.196098e-04	1.009038e+05	1.413473e+00	7.235608e+00	1.473091e+04	1.473570e+04	1.466164e+04	8.648336e+01	8.511771e+01	2024	1	3	0
	244	388	61.000000	-7.000000	-8.588866e-05	1.011286e+05	1.131980e+00	6.363349e+00	1.491140e+04	1.491507e+04	1.486846e+04	8.660685e+01	8.501366e+01	2024	1	3	18
	250	386	62.500000	-6.500000	-6.228941e-05	1.009247e+05	1.413473e+00	7.230933e+00	1.475981e+04	1.476336e+04	1.472410e+04	8.589468e+01	8.339503e+01	2024	1	4	0
	252	378	63.000000	-4.500000	-3.749784e-05	1.011239e+05	9.910712e-01	6.611580e+00	1.492606e+04	1.492894e+04	1.489649e+04	8.572157e+01	8.302009e+01	2024	1	4	6
	247	378	61.750000	-4.500000	-6.762403e-05	1.008265e+05	9.913999e-01	7.351441e+00	1.466828e+04	1.467221e+04	1.462781e+04	8.549692e+01	8.334449e+01	2024	1	4	12
	240	381	60.000000	-5.250000	-8.433289e-05	1.011423e+05	9.913999e-01	8.044064e+00	1.493944e+04	1.494555e+04	1.489312e+04	9.195936e+01	8.688490e+01	2024	1	4	18
	232	375	58.000000	-3.750000	-2.317394e-04	1.008678e+05	1.453390e+00	9.647997e+00	1.473880e+04	1.474334e+04	1.465744e+04	8.830064e+01	8.380009e+01	2024	1	5	0
	234	379	58.500000	-4.750000	-1.566552e-04	1.008572e+05	1.453390e+00	1.300423e+01	1.472486e+04	1.473270e+04	1.463519e+04	8.810696e+01	8.565676e+01	2024	1	5	12
	238	379	59.500000	-4.750000	-1.082651e-04	1.009471e+05	1.453390e+00	9.917767e+00	1.479319e+04	1.479728e+04	1.472775e+04	8.600083e+01	8.177843e+01	2024	1	6	0
start	7	2024	1	2	12
	278	371	69.500000	-2.750000	-8.400367e-05	1.009139e+05	1.393128e+00	5.666697e+00	1.473064e+04	1.473347e+04	1.468542e+04	8.961983e+01	8.632693e+01	2024	1	2	12
	281	368	70.250000	-2.000000	-2.128205e-04	1.011864e+05	1.955598e+00	5.491488e+00	1.495582e+04	1.495898e+04	1.490673e+04	9.049714e+01	8.622758e+01	2024	1	2	18
	283	371	70.750000	-2.750000	-1.962199e-04	1.011468e+05	1.955598e+00	6.597217e+00	1.493622e+04	1.493657e+04	1.487678e+04	8.144576e+01	8.120561e+01	2024	1	3	6
	281	371	70.250000	-2.750000	-1.495718e-04	1.007718e+05	1.614205e+00	6.813267e+00	1.468505e+04	1.468660e+04	1.465470e+04	7.540147e+01	7.427832e+01	2024	1	3	12
	284	372	71.000000	-3.000000	-1.259728e-04	1.011036e+05	1.955598e+00	4.986321e+00	1.491168e+04	1.491252e+04	1.487634e+04	7.646893e+01	7.686781e+01	2024	1	3	18
	283	367	70.750000	-1.750000	-7.891911e-05	1.009257e+05	1.955598e+00	7.578733e+00	1.474871e+04	1.475024e+04	1.471998e+04	8.303134e+01	8.065295e+01	2024	1	4	0
	285	368	71.250000	-2.000000	-6.276625e-05	1.008245e+05	1.955598e+00	6.258035e+00	1.468282e+04	1.468600e+04	1.463693e+04	8.144626e+01	8.229190e+01	2024	1	4	12
start	43	2024	1	2	12
	328	378	82.000000	-4.500000	-2.746866e-05	1.009529e+05	1.614064e+00	5.817264e+00	1.475926e+04	1.476166e+04	1.471617e+04	8.208182e+01	8.093218e+01	2024	1	2	12
	338	380	84.500000	-5.000000	-1.089703e-04	1.009108e+05	1.634285e+00	6.096498e+00	1.473217e+04	1.473537e+04	1.468739e+04	8.244332e+01	8.138732e+01	2024	1	3	0
	334	378	83.500000	-4.500000	-1.134290e-04	1.010498e+05	1.634285e+00	5.754206e+00	1.483755e+04	1.484112e+04	1.478666e+04	8.545803e+01	8.419869e+01	2024	1	3	6
	325	382	81.250000	-5.500000	-8.144369e-05	1.008638e+05	1.614064e+00	7.197079e+00	1.467542e+04	1.467916e+04	1.462620e+04	8.913939e+01	8.605762e+01	2024	1	3	12
	317	380	79.250000	-5.000000	-2.493842e-04	1.010926e+05	1.352872e+00	6.710967e+00	1.486668e+04	1.486901e+04	1.481271e+04	8.811440e+01	8.728869e+01	2024	1	3	18
	317	377	79.250000	-4.250000	-2.181595e-04	1.010939e+05	1.332789e+00	8.677927e+00	1.489113e+04	1.489252e+04	1.482662e+04	8.906308e+01	8.687473e+01	2024	1	4	6
	317	384	79.250000	-6.000000	-1.588191e-04	1.009335e+05	1.352872e+00	7.361679e+00	1.473270e+04	1.473404e+04	1.468193e+04	8.062160e+01	7.835595e+01	2024	1	4	12
	316	382	79.000000	-5.500000	-1.152975e-04	1.011093e+05	1.352872e+00	5.583753e+00	1.489339e+04	1.489712e+04	1.483049e+04	7.761201e+01	7.774770e+01	2024	1	4	18
	321	384	80.250000	-6.000000	-1.313055e-04	1.008938e+05	1.352872e+00	6.461955e+00	1.471579e+04	1.472008e+04	1.465994e+04	7.654250e+01	7.784823e+01	2024	1	5	0
	315	389	78.750000	-7.250000	-3.821170e-05	1.011265e+05	1.332789e+00	8.213130e+00	1.488774e+04	1.489062e+04	1.485822e+04	8.556605e+01	8.148661e+01	2024	1	5	6
	310	382	77.500000	-5.500000	-9.803404e-05	1.009442e+05	1.332789e+00	6.398061e+00	1.473951e+04	1.474187e+04	1.470219e+04	8.851322e+01	8.386559e+01	2024	1	5	12
	310	383	77.500000	-5.750000	-1.351649e-04	1.011382e+05	1.332789e+00	7.625335e+00	1.489243e+04	1.489600e+04	1.485161e+04	8.912882e+01	8.627718e+01	2024	1	5	18
	308	385	77.000000	-6.250000	-1.104705e-04	1.009541e+05	1.332789e+00	7.135071e+00	1.475004e+04	1.475196e+04	1.470000e+04	8.774249e+01	8.477010e+01	2024	1	6	0
	310	388	77.500000	-7.000000	-9.991415e-05	1.010950e+05	1.332789e+00	7.645867e+00	1.486310e+04	1.486689e+04	1.481123e+04	8.808999e+01	8.555896e+01	2024	1	6	6
	309	392	77.250000	-8.000000	-1.375563e-04	1.011419e+05	1.292903e+00	8.280628e+00	1.491194e+04	1.491615e+04	1.486594e+04	8.585251e+01	8.204728e+01	2024	1	6	18
